arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant
cnn_lr3e-5,cnn_lr3e-4,0.026668190956115723,0.020154276490211488,0.03330660760402679,1.0,0.0,True,0.03007560968399048,0.021470125019550323,0.038931386172771455,1.0,0.0,True
cnn_lr3e-5,gru_lr1e-4,0.005708754062652588,-0.0013352930545806883,0.01276193559169769,0.9405,0.0595,False,0.008401751518249512,-0.0005396500229835511,0.017361941933631893,0.97,0.03,False
cnn_lr3e-5,gru_lr3e-5,-0.006549954414367676,-0.015636144578456877,0.0024539723992347672,0.073,0.927,False,0.00019693374633789062,-0.011694175004959107,0.012321196496486657,0.4985,0.5015,False
cnn_lr3e-5,gru_lr3e-4,0.039876341819763184,0.030894163250923156,0.04935874938964844,1.0,0.0,True,0.04713338613510132,0.034984555840492246,0.06047739386558533,1.0,0.0,True
cnn_lr3e-5,attention_lr1e-4,-0.01076042652130127,-0.019313696026802062,-0.0020810961723327645,0.0105,0.9895,True,-0.01062476634979248,-0.020005609095096587,-0.0013314336538314832,0.0135,0.9865,True
cnn_lr3e-5,attention_lr3e-5,-0.01714712381362915,-0.026104757189750673,-0.00826969295740128,0.0,1.0,True,-0.013737618923187256,-0.02347301095724106,-0.004218821227550507,0.005,0.995,True
cnn_lr3e-5,attention_lr3e-4,0.007347464561462402,-0.00025865882635116576,0.014458332955837245,0.9715,0.0285,False,0.008807897567749023,-0.001516975462436676,0.01858098655939102,0.9565,0.0435,False
cnn_lr3e-5,attention_pe_lr1e-4,-0.006671130657196045,-0.01557064950466156,0.0028880253434181175,0.085,0.915,False,0.0012521147727966309,-0.009248895943164826,0.01204068660736084,0.577,0.423,False
cnn_lr3e-5,attention_pe_lr3e-5,-0.021744489669799805,-0.031201492249965667,-0.013006772100925464,0.0,1.0,True,-0.014986217021942139,-0.025424255430698393,-0.005105277895927445,0.0045,0.9955,True
cnn_lr3e-5,attention_pe_lr3e-4,0.04118150472640991,0.027604609727859497,0.055576561391353585,1.0,0.0,True,0.05895620584487915,0.03775787651538849,0.08223545998334883,1.0,0.0,True
