head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
linear,mean,weighted_vote,4,0.37592875957489014,0.3547754049301147,0.3973483920097351,0.0016300227725878358,-0.004284495580941438,0.007354056462645531,0.5877061469265368,1.0,1319
linear,mean,weighted_vote,8,0.42160725593566895,0.39825624227523804,0.44560366272926333,-0.009666414000093937,-0.01648976467549801,-0.0029937454208266044,0.00399800099950025,0.039980009995002494,1319
linear,mean,weighted_vote,16,0.4564063549041748,0.4298711121082306,0.483699768781662,-0.009097801521420479,-0.02276345663703978,0.004548900760710239,0.21989005497251374,1.0,1319
linear,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,last,argmax,2,0.3354056179523468,0.31736165285110474,0.3547024309635162,0.02649734355509281,0.02115144059062004,0.03199393302202225,0.0009995002498750624,0.035982008995502246,1319
linear,last,argmax,4,0.34916603565216064,0.3295280456542969,0.3688788652420044,-0.0251326747238636,-0.03366281241178513,-0.017015729285776642,0.0009995002498750624,0.035982008995502246,1319
linear,last,argmax,8,0.35034117102622986,0.32915088459849356,0.3722526654601097,-0.08093252778053284,-0.09431386739015579,-0.06720431782305243,0.0009995002498750624,0.035982008995502246,1319
linear,last,argmax,16,0.34344199299812317,0.31766489148139954,0.36997726559638977,-0.12206216901540756,-0.14632296562194824,-0.09704321622848511,0.0009995002498750624,0.035982008995502246,1319
linear,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,last,weighted_vote,2,0.3354056179523468,0.31736165285110474,0.3547024309635162,0.02649734355509281,0.02115144059062004,0.03199393302202225,0.0009995002498750624,0.035982008995502246,1319
linear,last,weighted_vote,4,0.36933284997940063,0.3484818160533905,0.3903345115482807,-0.0049658832140266895,-0.011790181114338338,0.0017446934391045891,0.14592703648175911,0.8755622188905547,1319
linear,last,weighted_vote,8,0.402880996465683,0.37903148457407954,0.4264594316482544,-0.028392722830176353,-0.038400303572416306,-0.018573729693889623,0.0009995002498750624,0.035982008995502246,1319
linear,last,weighted_vote,16,0.4397270679473877,0.41091737151145935,0.46853676438331604,-0.025777103379368782,-0.04399166200309992,-0.009097801521420479,0.00399800099950025,0.05997001499250375,1319
mlp,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,min,argmax,2,0.33093249797821045,0.31277291253209116,0.3495450921356678,0.022024260833859444,0.016678354190662503,0.02752084843814373,0.0009995002498750624,0.035982008995502246,1319
mlp,min,argmax,4,0.3476497530937195,0.32892343401908875,0.36714650392532344,-0.026648977771401405,-0.03525397926568985,-0.01762604196555913,0.0009995002498750624,0.035982008995502246,1319
mlp,min,argmax,8,0.35731613636016846,0.3355951599776745,0.379113906621933,-0.07395754009485245,-0.0881766438484192,-0.05989101473242046,0.0009995002498750624,0.035982008995502246,1319
mlp,min,argmax,16,0.36087945103645325,0.3351023495197296,0.3858984112739563,-0.10462471842765808,-0.12812736630439758,-0.0803639143705368,0.0009995002498750624,0.035982008995502246,1319
mlp,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,min,weighted_vote,2,0.33093249797821045,0.31277291253209116,0.3495450921356678,0.022024260833859444,0.016678354190662503,0.02752084843814373,0.0009995002498750624,0.035982008995502246,1319
mlp,min,weighted_vote,4,0.3628506362438202,0.3432135947048664,0.38317097947001455,-0.011448065750300884,-0.018690294679254295,-0.004093061608728027,0.0029985007496251873,0.04497751124437781,1319
mlp,min,weighted_vote,8,0.39617133140563965,0.3737632632255554,0.41888077333569523,-0.03510235249996185,-0.04541508406400681,-0.024370733462274096,0.0009995002498750624,0.035982008995502246,1319
mlp,min,weighted_vote,16,0.4298711121082306,0.4025776982307434,0.4564063549041748,-0.03563305363059044,-0.05307050794363022,-0.018195603042840958,0.0009995002498750624,0.035982008995502246,1319
mlp,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,mean,argmax,2,0.32839274406433105,0.31034777238965033,0.34677883312106134,0.01948445849120617,0.01405894581694156,0.024830363271757954,0.0009995002498750624,0.035982008995502246,1319
mlp,mean,argmax,4,0.3429112732410431,0.3238741636276245,0.3628544270992279,-0.031387414783239365,-0.03999431729316712,-0.022629833268001682,0.0009995002498750624,0.035982008995502246,1319
mlp,mean,argmax,8,0.34901443123817444,0.3280449040234089,0.37002367377281187,-0.08225928992033005,-0.09685462117195129,-0.06807903517037632,0.0009995002498750624,0.035982008995502246,1319
mlp,mean,argmax,16,0.35026535391807556,0.32448825240135193,0.37755876779556274,-0.11523881554603577,-0.13951857350766658,-0.09097801148891449,0.0009995002498750624,0.035982008995502246,1319
mlp,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,mean,weighted_vote,2,0.32839274406433105,0.31034777238965033,0.34677883312106134,0.01948445849120617,0.01405894581694156,0.024830363271757954,0.0009995002498750624,0.035982008995502246,1319
mlp,mean,weighted_vote,4,0.37725546956062317,0.35632770135998726,0.3984969608485698,0.0029567854944616556,-0.002654472430003807,0.008491281419992447,0.3268365817091454,1.0,1319
mlp,mean,weighted_vote,8,0.4236542880535126,0.4000748172402382,0.4478023275732994,-0.007619408890604973,-0.014026724337600171,-0.0006046244903700529,0.035982008995502246,0.2518740629685157,1319
mlp,mean,weighted_vote,16,0.4738438129425049,0.4465314745903015,0.5011371970176697,0.008339650928974152,-0.005307050887495279,0.021228203549981117,0.27786106946526734,1.0,1319
mlp,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,last,argmax,2,0.3330553472042084,0.3148180484771729,0.35181954577565194,0.02414708025753498,0.018990710843354464,0.02952994406223297,0.0009995002498750624,0.035982008995502246,1319
mlp,last,argmax,4,0.3475739061832428,0.3283548057079315,0.3670270927250385,-0.026724791154265404,-0.03453563442453742,-0.018232562020421034,0.0009995002498750624,0.035982008995502246,1319
mlp,last,argmax,8,0.3575815260410309,0.33631065487861633,0.3790030531585216,-0.073692187666893,-0.08662054222077131,-0.060194275621324796,0.0009995002498750624,0.035982008995502246,1319
